ID_SERVICE,NAME_SERVICE,CODE_SERVICE
1,AWE1,1
2,AWE2,1
3,AWE4,1
4,AWE8,1
5,AWE3,1
6,GME,1
7,CEN,1
8,SEA,1
9,MD1,1
10,HPSX,1
11,PSW1,1
12,YPSW,1
13,JPSW,1
14,AAS2,1
15,PSW5,1
16,CPNW,1
17,HPNW,1
18,KPNW,1
19,YPNW,1
20,CPS,1
21,AWES,1
22,ABX,2
23,ADR,2
24,AEX1,2
25,AEX7,2
26,AFS,2
27,AGT,2
28,AWE5,2
29,CEM,2
30,CESS,2
31,ESE,2
32,FAL1,2
33,FAL3,2
34,IAS,2
35,MAF,2
36,MD1-EU,2
37,MD2,2
38,MD3,2
39,MFS,2
40,MSX,2
41,NE2,2
42,NE3,2
43,NE4,2
44,NE6,2
45,NE7,2
46,PNX,2
47,TAS1,2
48,TAS4,2
49,WSA2,2
50,ZCS,2
51,AEF,3
52,AUSE,3
53,ESA,3
54,FAX,3
55,FWAX,3
56,JKN,3
57,NAE,3
58,SAS,3
59,WSA,3
60,AGI,4
61,AK5,4
62,AK6,4
63,AMA,4
64,APG,4
65,CJ1,4
66,CJ10,4
67,CJ12,4
68,CJ18,4
69,CJ2,4
70,CJ21,4
71,CJ22,4
72,CJ27,4
73,CJ28,4
74,CJ3,4
75,CJ5,4
76,CJ6,4
77,CJ7,4
78,CJ8,4
79,CJ9,4
80,CNP,4
81,CPX,4
82,CSE,4
83,CTW1,4
84,CTW2,4
85,CTW3,4
86,FRX,4
87,MEX,4
88,CF1,5
89,IC10,5
90,IC11,5
91,IC2,5
92,IC4,5
93,IC6,5
94,IC8,5
95,IC9,5
